serie,periodos_previstos,modelo,valores_previstos,MAE_CV,RMSE_CV,MAE_Test,RMSE_Test,SMAPE
Produto,71,LSTM,"[57.76416519066916, 151.05011239085948, 188.61956562178514, 228.85853946453344, 221.8094262718849, 217.1780518555301, 201.03362882538377, 195.4875737602424, 231.01490710307309, 225.3304361883421, 220.10906802806034, 198.64372786360732, 196.60760373412955, 235.317034357156, 231.00108764789223, 224.15130368555594, 194.86770164632526, 196.05393404830303, 241.3012544856204, 238.89976080261678, 228.87239408786084, 188.67454646791091, 191.7824014767387, 236.78155450031215, 247.62317550084967, 232.27584990306323, 173.06770929352928, 215.08297688903045, 277.2707692273046, 268.29347375984855, 238.52100087366378, 159.6234839446294, 193.4142363528312, 283.7457168345327, 277.85671118708206, 235.21382676218278, 138.74241638345168, 160.0751669651059, 279.5759222829056, 280.894529167981, 223.60947818229982, 113.59700948319869, 118.75905025045813, 255.7294824693639, 250.6759942327875, 218.43951042690924, 153.95487616489663, 194.04733524899996, 264.35544270230963, 255.3465428383533, 220.3082668159221, 138.37308452359716, 168.47425275779446, 265.3953819350277, 259.6934349343015, 211.23536466497848, 115.45745309230591, 130.88035965590745, 251.13534476781243, 253.78338004489112, 192.14430494778765, 89.57771247553057, 88.41356936941432, 211.8350426236384, 227.16030511311038, 158.27571615387484, 88.41147609021117, 103.4103055025358, 208.42567269154597, 209.45957425303442, 154.960775211243]",96.14,123.75,93.81,113.97,59.15
País,72,LSTM,"[12468.59081044418, 14564.359297013263, 15355.061225778341, 25115.148845213822, 29722.23308284143, 34862.68827819883, 21761.726237741343, 19177.809804857057, 27579.963724217196, 29720.69574772305, 32980.354888814094, 20290.234063878524, 17554.451785435696, 25089.425346728087, 26998.052169803315, 29856.301787078653, 18577.13015358993, 15859.224308977877, 22568.159246046635, 24307.778994643897, 26797.208770869234, 16855.1601038044, 14131.829299417645, 18983.160637523408, 22811.890108835312, 26377.387802169884, 17717.301166794387, 15560.184467268704, 21907.90496122216, 23768.11076010092, 25912.755633599525, 16998.89122882751, 14542.47929069514, 20133.800323796117, 21585.766185560256, 23393.646429916138, 15427.041545591082, 12939.975200910978, 17914.971863151248, 19303.50700299648, 20797.95216033306, 13760.200772553082, 11200.21561717495, 15492.566707452062, 22614.123691934437, 27541.139371798006, 19111.076981145954, 17231.788452548895, 24674.900457247182, 26907.289610089025, 29662.96149095423, 19416.9231020133, 16912.795958480765, 23443.010243552977, 24964.360680207057, 27068.832228237952, 17797.773984631185, 15201.275320999734, 21069.194816343304, 22556.537949793663, 24324.81080532629, 16043.808245136903, 13299.480689742428, 18421.388679324966, 19953.26767606372, 21376.360687237717, 16257.946917326, 13600.534736487041, 18884.81638719697, 21304.326646099515, 22510.558737506854, 14138.803825925701]",6480.66,7943.06,5627.23,7546.12,26.64
Cliente,99,LSTM,"[10.386143225198008, 8.379445046428469, 8.585726666998044, 15.79667572622931, 30.37441583872071, 58.07836546927576, 57.972985896186024, 51.14966160507342, 22.348363747224745, 14.826713784674709, 21.536569632178114, 37.23829747472512, 70.00891588207729, 70.63710457853685, 63.941352523792446, 27.367787825021473, 17.614448884099662, 25.008272763835542, 43.030882261202024, 83.12398019412709, 85.38534973897973, 77.93784645205905, 33.02991625409233, 20.696567237835875, 28.693124514507552, 48.97843905547693, 96.66801724601686, 100.89867946782307, 92.88709986683828, 39.30013762913381, 24.05655506083734, 48.88231210310126, 90.68230713967438, 155.85538277182062, 135.5545098201057, 105.55482040056677, 39.44223184339977, 23.592987109821557, 34.413611967966595, 61.02188131389102, 113.55047371834806, 115.26790285626373, 105.16312459198608, 43.74593439297535, 27.871132875643877, 40.15535209236576, 71.57672268738646, 138.2266161284259, 143.2998290312049, 131.97231640766873, 53.99903239438022, 33.42933482835022, 47.04967958880801, 83.4600705942201, 165.84281383744496, 174.97443203673086, 162.56133861094008, 66.14219687195224, 39.95605818800038, 54.761285523730194, 96.14708947758754, 195.1931060623567, 198.24873202845095, 163.53658284918822, 61.154920962278624, 33.505005709325125, 41.553169140900664, 65.85427831293568, 111.15853048243744, 109.86338909636135, 97.85742850579179, 42.98259690650853, 27.66287881977034, 39.374462189445055, 70.41660254509831, 132.8719290468518, 134.2257526258853, 120.61001829490817, 52.783639481625684, 33.172271434890575, 46.04631068367635, 81.76163305433543, 157.74316518315314, 161.6541566183325, 146.26676382843794, 64.35052540766183, 39.640131105989624, 53.47301133176616, 93.68337961385873, 183.5025903165909, 190.30466701692123, 173.3587789261582, 38.99972781440833, 12.70397883613602, 10.148751991155653, 11.35525631868186, 15.04494514579316, 11.977550637627669, 9.243892464486974]",247.99,582.93,516.24,868.03,175.57
Produto,71,TCN,"[238.1751835643356, 341.3205086847715, 289.378228322158, 615.3427562771832, 452.8198697042318, 408.7748967909149, 347.0319823230605, 239.61947182195817, 498.0401478529286, 424.8206935233417, 383.2065452831594, 336.3784568709429, 234.61168068437848, 487.1152969293041, 414.9816296813083, 374.1169624091109, 328.54763329694083, 229.12575996697782, 475.8226718567249, 405.5701691517758, 365.5165987018851, 320.97674042236616, 223.82212132991216, 246.22861756687675, 193.5688681866642, 184.62826828356475, 162.75798025040956, 114.74241260080476, 240.57835397147886, 207.08832255878073, 185.9778055397358, 163.27117017620554, 113.61184443169704, 236.68885236982388, 201.83579677692225, 181.61075392250004, 159.6041152230585, 110.98593953709953, 231.33617903339552, 197.27760496507872, 177.48062307784784, 155.97751246209867, 108.44536222354418, 226.0912779245023, 201.11685750745062, 182.41588966403495, 172.25458769594826, 121.33026027491104, 249.71289311233963, 212.67904861303552, 198.06047872555604, 174.5522977106378, 121.64827632449227, 253.31120595046363, 215.8421542449053, 194.46282687536456, 170.70478738307025, 118.91635748842184, 247.4745412607322, 210.92052655461598, 190.00939045988153, 164.78796766586555, 115.97907718757365, 242.0320715666047, 206.14046376676077, 185.6280352991717, 153.94891600552776, 115.41120738465554, 278.51576851576846, 238.05653060659358, 212.42654192502164]",112.1,141.45,132.93,173.4,66.45
País,72,TCN,"[157685.51891901536, 27830.9173094742, 10660.473927025294, 44125.93710704605, 44342.23190360219, 55288.89362621496, 24795.207960233107, 11938.278488477908, 43052.51339501799, 45551.35587161274, 60847.25708661875, 33060.311221458665, 13706.927847864848, 50208.20641211067, 53366.97361023049, 70909.87331644095, 38446.099123560445, 15989.972089642917, 58650.64271041622, 62244.86274033144, 82732.84492647428, 44860.627056057856, 18655.48670122767, 8333.855003375782, 9286.644527911616, 13722.564057170091, 7131.715147087443, 2966.753542530935, 10529.777447623577, 12754.803896716649, 16757.40808111277, 8978.259822544693, 3747.2675021617933, 11965.442550204421, 14600.315572010848, 19847.825866153627, 10259.122100160763, 4369.0633075252545, 13011.308918940324, 17073.221290249316, 23471.848703907817, 11088.470518177488, 5107.608580251817, 14285.893078851763, 5007.592995355264, 7059.20640400831, 3641.670783991431, 1828.8006848992438, 4514.182614328346, 6614.951799773628, 9613.208693529628, 4287.9443612103305, 2223.999843106986, 5644.158508019045, 8494.22594305467, 10361.223270830546, 4675.229996743701, 2517.469684763426, 6175.557211406955, 9229.520403692532, 11376.987972465091, 5134.777165090649, 2755.4000687169037, 6766.276643395169, 10120.493882430323, 12466.569464065406, 5065.762268702927, 3663.896138808057, 9948.052549341093, 19509.569232350033, 20131.953772995308, 8733.43113284641]",9253.89,11437.96,19234.48,26556.45,86.92
Cliente,99,TCN,"[22.565663177878086, 28.85909889855835, 11.463061104551361, 36.528882386458804, 20.72556282948462, 54.871052671466764, 38.88831718941174, 40.49437281819134, 52.46291540687701, 19.420554193383087, 44.451816018218494, 22.42001781344827, 63.221518159721775, 49.06866531099354, 42.07154742573457, 55.74791497268239, 20.69863197419766, 46.82489366584395, 23.5776906663155, 66.68446819240235, 51.78200772974303, 44.26763079753147, 58.69173903197471, 21.824473263827294, 49.291792750969705, 24.84516241657191, 70.18328188483547, 54.50889952648567, 46.60413884292216, 61.77426110271177, 23.003096972901268, 23.207806826920947, 14.902512597208254, 52.79212554416971, 44.33605235401215, 36.08275461530936, 50.24458839870502, 19.93307945569259, 44.15632579075685, 22.329963101084594, 63.59672119754834, 49.36360942034782, 42.120408317053226, 55.94041625709632, 20.78951196912516, 46.98792615661917, 23.664996282600885, 66.94106040328873, 51.97828034640818, 44.43245393490185, 58.91267465474142, 21.913375172915252, 49.476364034966764, 24.940636721932453, 70.44681519090847, 54.71400890261103, 46.779847854279595, 62.00628410374024, 23.101858428411056, 52.08180931807222, 26.280098446562423, 74.13617243351142, 11.772734252975317, 10.227353980297238, 17.382602788785352, 5.736974098349069, 11.30959716352483, 5.979327197892577, 19.443488467551187, 14.48541506181053, 12.270071702370217, 16.726400331427268, 5.75354586172589, 13.871850841715714, 6.632102483923694, 19.875472944596595, 15.440540111872277, 13.00479595923396, 17.55588070794228, 6.096195300058593, 14.686528716956461, 7.026788290053809, 20.941191849945476, 16.2951417052616, 13.728450310813184, 18.510784402989284, 6.462488026675764, 15.497152801205022, 7.440955397540785, 22.073928350706616, 17.187936283372956, 14.488615979641438, 13.344737794693192, 3.5428411303787133, 10.364278064400235, 4.731037083175239, 14.342376032295414, 11.147634045766909, 11.88795475546552]",252.43,580.23,527.75,892.72,190.13
