serie,modelo,mae_media,rmse_media,smape_media,mae_sem,rmse_sem,smape_sem
Produto,qwen/qwen3.5-397b-a17b,135.63600000000002,170.256,73.78999999999999,7.7158,9.6625,4.2345
País,qwen/qwen3.5-397b-a17b,7366.128,9045.810000000001,38.99,1104.2189,1089.6759,7.5915
Cliente,qwen/qwen3.5-397b-a17b,558.362,944.074,106.748,36.4801,58.9656,2.3731
Produto,mistralai/mistral-medium-3.5-128b,93.82,118.48600000000002,59.056000000000004,2.2471,2.9781,1.0022
País,mistralai/mistral-medium-3.5-128b,6336.178,8049.764000000001,31.894,725.1021,691.247,4.3222
Cliente,mistralai/mistral-medium-3.5-128b,550.9440000000001,919.8359999999999,105.77000000000001,11.734,4.8742,0.6356
