serie,periodos_previstos,modelo,valores_previstos,MAE,RMSE,SMAPE
Produto,71,Naive,"[38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25, 38.25]",126.48,152.76,111.84
Produto,71,SeasonalNaive,"[51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0, 63.75, 216.75, 127.5, 0.0, 0.0, 38.25, 51.0]",127.02,151.57,118.19
País,72,Naive,"[6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54, 6940.54]",14876.28,16097.39,98.74
País,72,SeasonalNaive,"[12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61, 13580.64, 9412.25, 0.0, 5391.22, 6940.54, 12919.28, 14380.61]",13028.78,14979.66,89.17
Cliente,99,Naive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",529.08,911.4,105.05
Cliente,99,SeasonalNaive,"[0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1364.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",595.89,936.62,107.19
