serie,periodos_previstos,modelo,valores_previstos,MAE_CV,RMSE_CV,MAE_Test,RMSE_Test,SMAPE
Produto,71,XGBoost,"[107.75476837158203, 92.87298583984375, 103.79795837402344, 103.38789367675781, 105.04643249511719, 114.96121978759766, 104.13530731201172, 101.84392547607422, 101.4100570678711, 103.89229583740234, 116.01458740234375, 104.44679260253906, 102.46315002441406, 103.7129898071289, 105.44026184082031, 115.85372161865234, 108.07967376708984, 104.44095611572266, 101.7933349609375, 103.9275131225586, 114.95967102050781, 104.99607849121094, 102.41471099853516, 105.36233520507812, 106.72222137451172, 116.43403625488281, 103.86494445800781, 103.39118194580078, 103.13220977783203, 103.97000122070312, 116.28545379638672, 104.2762222290039, 100.31671142578125, 101.97215270996094, 105.59049987792969, 116.86111450195312, 106.45990753173828, 102.27998352050781, 100.25749206542969, 101.51676177978516, 110.33370971679688, 102.36097717285156, 96.66860961914062, 99.65925598144531, 104.80166625976562, 114.967529296875, 105.20735168457031, 103.34554290771484, 102.81010437011719, 105.79252624511719, 117.00237274169922, 103.14045715332031, 101.5235595703125, 102.86248779296875, 102.84971618652344, 113.31904602050781, 101.2772216796875, 101.77970886230469, 102.26712799072266, 101.66925048828125, 113.04768371582031, 99.8314208984375, 98.003173828125, 97.45303344726562, 98.31144714355469, 110.46602630615234, 103.47962188720703, 102.73578643798828, 104.7225341796875, 105.26981353759766, 110.00599670410156]",110.89,137.49,83.76,105.71,60.85
País,72,XGBoost,"[14240.279296875, 7365.720703125, 9187.5322265625, 25278.828125, 13133.9169921875, 15556.779296875, 10350.0029296875, 16007.1748046875, 21759.509765625, 15478.37109375, 17912.333984375, 11539.94921875, 16479.69140625, 28410.845703125, 21275.6875, 17807.748046875, 15150.220703125, 15263.0107421875, 27049.69921875, 21005.298828125, 21418.69140625, 2534.03466796875, 8832.8701171875, 52651.125, 25439.17578125, 28640.591796875, 30914.798828125, 29605.513671875, 36508.5859375, 25333.6875, 28496.759765625, 22590.33984375, 21683.06640625, 32132.888671875, 24316.890625, 26798.59765625, 14845.654296875, 13788.3056640625, 23177.26171875, 17514.150390625, 17441.474609375, 13545.9921875, 139.38174438476562, 43691.875, 21004.716796875, 32183.125, 29435.548828125, 35101.15234375, 47757.1875, 27931.654296875, 34277.44921875, 23937.181640625, 28329.296875, 36550.84375, 28442.591796875, 30943.353515625, 17280.138671875, 19716.07421875, 27246.52734375, 25785.07421875, 27361.4921875, 15157.9091796875, 50559.2578125, 53927.6015625, 20882.9921875, 46197.6796875, 19890.68359375, 29527.29296875, 45414.9453125, 32204.89453125, 38313.1875, 20927.8125]",4292.55,5693.76,7761.23,10437.53,34.33
Cliente,99,XGBoost,"[451.66650390625, 1.7244715690612793, 0.9944135546684265, 174.73275756835938, 11.562560081481934, 89.36255645751953, 218.9140167236328, 70.10738372802734, 44.47174072265625, -0.18780967593193054, 3.5550713539123535, 161.1259002685547, 3.761636734008789, -0.16141580045223236, 218.59629821777344, 41.8873291015625, -0.6336842775344849, 9.56627082824707, 907.205322265625, 1137.199462890625, 37.75239944458008, 50.86062240600586, 1.5030088424682617, -0.680742621421814, 31.759740829467773, 9222.060546875, 4631.66455078125, 305.2982482910156, 1403.9405517578125, 742.144775390625, 0.2410655915737152, 127.3939208984375, 323.79791259765625, 501.8822326660156, 40.206146240234375, 1.7825217247009277, 29.76927947998047, 4.077004432678223, 48.38371658325195, 393.86004638671875, 6.404820442199707, 12.404891967773438, 2961.067626953125, 57.05497360229492, -0.4727739095687866, 2.3829197883605957, 313.9361267089844, 1200.2069091796875, 110.36497497558594, 8836.5869140625, 75.47039031982422, -0.44168946146965027, 1.5231484174728394, 808.4390869140625, 195.30859375, 4003.07470703125, 4367.35205078125, 36.83400344848633, 1.0829801559448242, 4.190898895263672, 218.64804077148438, 49.04195785522461, 26.881731033325195, 1796.7879638671875, 3267.97509765625, 4.025013446807861, 425.77471923828125, 6.360454082489014, 94.19821166992188, 1025.6871337890625, 70.88353729248047, 883.7853393554688, 0.6631843447685242, 10.21733570098877, 845.0892944335938, 128.81277465820312, 7.068887233734131, 622.3705444335938, 1157.9024658203125, 0.8974723815917969, 86.10896301269531, 1627.635498046875, 347.9374694824219, 4.588383674621582, 5.094565391540527, 37.175968170166016, 1.9863519668579102, 2.9729673862457275, 21.5645751953125, 0.2665315568447113, -0.39711084961891174, 179.35845947265625, 331.25634765625, 2.564305305480957, 3.886404514312744, 593.008544921875, 26.67079734802246, -0.6469126343727112, 296.6786193847656]",246.83,581.12,826.81,1597.07,168.12
Produto,71,CatBoost,"[173.18660157153957, 94.90114808072802, 133.01870675796476, 140.20743186596562, 148.89684703639224, 179.64481928184333, 97.26487717946618, 118.81976202058044, 113.42806406535261, 113.1394263630219, 180.3169379272135, 87.72723963860942, 122.44274384784482, 125.92443375701939, 123.45599966169259, 188.32823314027485, 107.04158395950338, 120.13092216113405, 111.46285148271966, 98.43755529548898, 152.92294976155745, 77.77529019575634, 53.24090190616702, 183.6591478018827, 191.29318776643805, 235.4772133476637, 118.2088025227567, 170.06267618423658, 180.82207339895024, 158.13167055589386, 237.55369974435067, 106.50084277155975, 127.12897393148506, 134.34638489891168, 137.26390277245568, 230.78227335348993, 89.52319718956198, 87.11522616200214, 105.3887711374883, 101.23751014752776, 136.37040632819654, 63.78481232078237, 43.977827895582855, 91.86657380366668, 143.51704674018157, 155.14928682238485, 117.3560313060105, 164.27292102186365, 181.12126996429618, 191.68708906750578, 257.3291188909176, 113.52904226272574, 124.35948321019765, 147.02012058150007, 154.967852430781, 230.71385429505585, 79.20742837906977, 110.29361769473414, 138.76446142414832, 143.13369155893838, 177.6459182746595, 69.05410566747693, 94.39719326549782, 111.57844215068117, 106.32205131502413, 363.79402189695304, 181.69815995723883, 234.86164118838656, 238.99270185135708, 244.49147409828478, 287.7247110219948]",107.6,135.12,75.38,97.12,53.8
País,72,CatBoost,"[14602.854863191735, 12063.391600241146, 20316.63017117517, 14103.083228838259, 13565.443601913797, 16204.208149173575, 12492.592067671845, 20149.155598539863, 15606.852853581848, 14454.963180453193, 17164.667582997445, 13925.698765711335, 22661.310075485802, 19727.436501272263, 19176.476449162074, 19221.826734738013, 14615.770496965339, 10207.295375855983, 15421.640014740036, 13664.332197340806, 15825.479602034591, 4460.632238337304, 14079.688124553642, 22892.479153489276, 22603.77566331024, 24224.666611436405, 19671.113097348712, 26815.36825649831, 24512.094867378306, 23248.62954052243, 25025.71814338577, 19183.28791718587, 25734.2997011022, 24843.14538297661, 23835.399125592987, 24679.630021601497, 14886.91569816046, 19362.809769572432, 16541.042224947047, 14550.728342545397, 16217.26220567754, 12126.12313494843, 212.01287006328565, 19527.6329361275, 22760.811148637877, 27280.854928504607, 20175.06716598777, 27771.169792047986, 25919.796858364454, 26640.769775746252, 28281.590954389416, 20078.868886223547, 27116.31855090063, 27036.409345306154, 28864.278885245254, 28291.553784909167, 19109.98590946795, 24499.352265995625, 20194.826151204586, 25414.86340025364, 28412.933995603944, 12432.580833418268, 11102.236421816235, 19303.247474084223, 20986.74518492185, 26265.01097244097, 18437.171607454762, 29613.39898937916, 24020.24159120123, 27747.13210121722, 27652.814886531873, 18849.24369825801]",4563.09,6024.03,4892.35,6529.09,25.88
Cliente,99,CatBoost,"[32.09663253228441, 3.266796251168694, -0.005264081603629766, 29.462784084062942, 8.488011999999497, 20.095400150198028, 8.224980501853624, 20.246302430793975, 12.99471357310951, -0.05045870003932887, 1.6890545016287413, 42.37596830497232, 7.873616245633514, 3.2879712457093375, 104.19835901202362, 8.72838192510668, -0.1852643432054367, 14.84889343935586, 331.0165671467922, 64.16811487707845, 10.01593651901103, 44.83904748364799, 3.566278317903614, -0.48471017829051416, 0.44864932100740934, 2096.338383072907, 623.6964382263756, 119.35070059920294, 2621.3615756459403, 209.7501915000707, -0.7147027978009395, 41.452412219881325, 63.908605218708324, 151.7957888833239, 27.297159678586908, 14.827501548543069, 16.830811328249144, 2.3807331861116743, 13.274857076839124, 50.0779348765604, 33.63756270262679, 13.48060420682222, 184.38814013516338, 11.091522889721602, -0.19017142703879605, 2.4771042844069973, 257.5630804578284, 476.22743424226167, 97.32146559522714, 1356.996035627204, 33.17292822206891, -0.45255169173935567, 0.7504320620372232, 182.14103785745624, 77.16762876740859, 267.86793339803614, 1749.0219853005842, 51.14370795505225, 0.23235454042069031, 2.8006271560275264, 87.54836562496833, 12.542599638219158, 4.316873150912924, 314.8247464697254, 305.5761818741759, 2.809581553806148, 116.05074728319632, 32.17158425078839, 110.71793081846994, 60.08315549036142, 61.497629152355216, 129.3978966968331, 1.4229593166530177, 5.686694040408728, 190.59868013209478, 55.343800586437645, 16.51023758633165, 364.05003853020173, 430.6716306491071, 3.503642437907555, 16.635899489111694, 245.8631997073617, 54.1681574961753, 9.907315042595478, 75.51878158433195, 23.242998437574933, 2.4886277277173665, 4.151830349452865, 11.438213289886598, 6.286356645054147, 4.688750199558964, 309.29994393607234, 39.38987325900851, 2.106266916554739, 2.795329742924584, 55.05784410515863, 8.9231561496083, 1.147131045569831, 120.42484690364635]",246.59,581.83,529.97,907.41,173.4
